Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      2.68     0.00  1489237     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<short> > >::destroy<short>(std::allocator<std::_Rb_tree_node<short> >&, short*)
  0.00      2.68     0.00  1489237     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_put_node(std::_Rb_tree_node<short>*)
  0.00      2.68     0.00  1489237     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_drop_node(std::_Rb_tree_node<short>*)
  0.00      2.68     0.00  1489237     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_destroy_node(std::_Rb_tree_node<short>*)
  0.00      2.68     0.00  1484095     0.00     0.00  std::set<short, std::less<short>, std::allocator<short> >::erase(short const&)
  0.00      2.68     0.00  1484095     0.00     0.00  std::pair<std::_Rb_tree_iterator<short>, std::_Rb_tree_iterator<short> >::pair<std::_Rb_tree_iterator<short>, std::_Rb_tree_iterator<short>, void>(std::_Rb_tree_iterator<short>&&, std::_Rb_tree_iterator<short>&&)
  0.00      2.68     0.00  1484095     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_lower_bound(std::_Rb_tree_node<short>*, std::_Rb_tree_node<short>*, short const&)
  0.00      2.68     0.00  1484095     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_upper_bound(std::_Rb_tree_node<short>*, std::_Rb_tree_node<short>*, short const&)
  0.00      2.68     0.00  1484095     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::erase[abi:cxx11](std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short>)
  0.00      2.68     0.00  1484095     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::erase(short const&)
  0.00      2.68     0.00  1472827     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_erase_aux(std::_Rb_tree_const_iterator<short>)
  0.00      2.68     0.00  1304624     0.00     0.00  BitSet::set(int)
  0.00      2.68     0.00  1282232     0.00     0.00  std::set<short, std::less<short>, std::allocator<short> >::size() const
  0.00      2.68     0.00  1184460     0.00     0.00  Board::Able(short, int)
  0.00      2.68     0.00  1036984     0.00     0.00  std::_Rb_tree_node<short>* std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_clone_node<std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node>(std::_Rb_tree_node<short> const*, std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node&)
  0.00      2.68     0.00  1036984     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_left(std::_Rb_tree_node_base const*)
  0.00      2.68     0.00   905178     0.00     0.00  std::_Rb_tree_node<short>*& std::forward<std::_Rb_tree_node<short>*&>(std::remove_reference<std::_Rb_tree_node<short>*&>::type&)
  0.00      2.68     0.00   841351     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_key(std::_Rb_tree_node_base const*)
  0.00      2.68     0.00   841351     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_value(std::_Rb_tree_node_base const*)
  0.00      2.68     0.00   668654     0.00     0.00  std::_Rb_tree_const_iterator<short>::_Rb_tree_const_iterator(std::_Rb_tree_node_base const*)
  0.00      2.68     0.00   668312     0.00     0.00  std::_Rb_tree_const_iterator<short>::operator*() const
  0.00      2.68     0.00   642650     0.00     0.00  Board::GetPlayablePositionMC(int)
  0.00      2.68     0.00   639753     0.00     0.00  std::set<short, std::less<short>, std::allocator<short> >::begin() const
  0.00      2.68     0.00   639753     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::begin() const
  0.00      2.68     0.00   639582     0.00     0.00  std::iterator_traits<std::_Rb_tree_const_iterator<short> >::iterator_category std::__iterator_category<std::_Rb_tree_const_iterator<short> >(std::_Rb_tree_const_iterator<short> const&)
  0.00      2.68     0.00   639582     0.00     0.00  void std::advance<std::_Rb_tree_const_iterator<short>, unsigned long long>(std::_Rb_tree_const_iterator<short>&, unsigned long long)
  0.00      2.68     0.00   632672     0.00     0.00  Board::Merge(short, short)
  0.00      2.68     0.00   521811     0.00     0.00  BitSet::merge(BitSet const&)
  0.00      2.68     0.00   452927     0.00     0.00  std::set<short, std::less<short>, std::allocator<short> >::insert(short const&)
  0.00      2.68     0.00   452927     0.00     0.00  std::pair<std::_Rb_tree_iterator<short>, bool>::pair<std::_Rb_tree_iterator<short>, bool, void>(std::_Rb_tree_iterator<short>&&, bool&&)
  0.00      2.68     0.00   452927     0.00     0.00  std::pair<std::_Rb_tree_const_iterator<short>, bool>::pair<std::_Rb_tree_iterator<short>&, bool&, void>(std::_Rb_tree_iterator<short>&, bool&)
  0.00      2.68     0.00   452927     0.00     0.00  std::_Rb_tree_iterator<short>& std::forward<std::_Rb_tree_iterator<short>&>(std::remove_reference<std::_Rb_tree_iterator<short>&>::type&)
  0.00      2.68     0.00   452927     0.00     0.00  bool& std::forward<bool&>(std::remove_reference<bool&>::type&)
  0.00      2.68     0.00   452927     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
  0.00      2.68     0.00   452589     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<short>*&, std::_Rb_tree_node<short>*&, void>(std::_Rb_tree_node<short>*&, std::_Rb_tree_node<short>*&)
  0.00      2.68     0.00   452589     0.00     0.00  std::_Rb_tree_iterator<short> std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_insert_<short const&, std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, short const&, std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node&)
  0.00      2.68     0.00   208822     0.00     0.00  BitSet::reset()
  0.00      2.68     0.00   208307     0.00     0.00  Board::ToEmpty(short)
  0.00      2.68     0.00   194830     0.00     0.00  std::_Rb_tree_iterator<short>::operator==(std::_Rb_tree_iterator<short> const&) const
  0.00      2.68     0.00   138114     0.00     0.00  std::_Rb_tree_iterator<short>::operator--()
  0.00      2.68     0.00   105701     0.00     0.00  Board::SetEye(short, int)
  0.00      2.68     0.00    91930     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::end()
  0.00      2.68     0.00    91075     0.00     0.00  void unipolar::Swap<short>(short&, short&)
  0.00      2.68     0.00    28902     0.00     0.00  UCT::Node::Node(short, UCT::Node*, UCT::Node*)
  0.00      2.68     0.00    28901     0.00     0.00  std::set<short, std::less<short>, std::allocator<short> >::end() const
  0.00      2.68     0.00    28901     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::end() const
  0.00      2.68     0.00    18408     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_root()
  0.00      2.68     0.00    17404     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_erase(std::_Rb_tree_node<short>*)
  0.00      2.68     0.00    12272     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<short> >::new_allocator(__gnu_cxx::new_allocator<std::_Rb_tree_node<short> > const&)
  0.00      2.68     0.00    12272     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<short> >::~new_allocator()
  0.00      2.68     0.00    11268     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Rb_tree_impl<std::less<short>, true>::_M_reset()
  0.00      2.68     0.00    11268     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::clear()
  0.00      2.68     0.00     9035     0.00     0.00  Move::Move(int, short)
  0.00      2.68     0.00     6138     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Rb_tree_impl<std::less<short>, true>::_M_initialize()
  0.00      2.68     0.00     6136     0.00     0.00  Board::GetAreaCount(int)
  0.00      2.68     0.00     6136     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<std::_Rb_tree_node<short> > >::_S_select_on_copy(std::allocator<std::_Rb_tree_node<short> > const&)
  0.00      2.68     0.00     6136     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_get_Node_allocator() const
  0.00      2.68     0.00     6136     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_root() const
  0.00      2.68     0.00     6136     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_begin() const
  0.00      2.68     0.00     6136     0.00     0.00  std::allocator<std::_Rb_tree_node<short> >::allocator(std::allocator<std::_Rb_tree_node<short> > const&)
  0.00      2.68     0.00     6136     0.00     0.00  std::allocator<std::_Rb_tree_node<short> >::allocator(std::allocator<std::_Rb_tree_node<short> > const&)
  0.00      2.68     0.00     6136     0.00     0.00  std::allocator<std::_Rb_tree_node<short> >::~allocator()
  0.00      2.68     0.00     6136     0.00     0.00  std::allocator<std::_Rb_tree_node<short> >::~allocator()
  0.00      2.68     0.00     6136     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<short> > >::select_on_container_copy_construction(std::allocator<std::_Rb_tree_node<short> > const&)
  0.00      2.68     0.00     6136     0.00     0.00  std::allocator<std::_Rb_tree_node<short> > const std::allocator_traits<std::allocator<std::_Rb_tree_node<short> > >::_S_select<std::allocator<std::_Rb_tree_node<short> > const, void>(std::allocator<std::_Rb_tree_node<short> > const&, ...)
  0.00      2.68     0.00     6136     0.00     0.00  std::_Rb_tree_node_base::_S_maximum(std::_Rb_tree_node_base*)
  0.00      2.68     0.00     6136     0.00     0.00  std::_Rb_tree_node_base::_S_minimum(std::_Rb_tree_node_base*)
  0.00      2.68     0.00     6136     0.00     0.01  std::set<short, std::less<short>, std::allocator<short> >::set(std::set<short, std::less<short>, std::allocator<short> > const&)
  0.00      2.68     0.00     6136     0.00     0.00  std::set<short, std::less<short>, std::allocator<short> >::~set()
  0.00      2.68     0.00     6136     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_maximum(std::_Rb_tree_node_base*)
  0.00      2.68     0.00     6136     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_minimum(std::_Rb_tree_node_base*)
  0.00      2.68     0.00     6136     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_leftmost()
  0.00      2.68     0.00     6136     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_rightmost()
  0.00      2.68     0.00     6136     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Rb_tree_impl<std::less<short>, true>::_Rb_tree_impl(std::less<short> const&, std::allocator<std::_Rb_tree_node<short> >&&)
  0.00      2.68     0.00     6136     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Rb_tree_impl<std::less<short>, true>::~_Rb_tree_impl()
  0.00      2.68     0.00     6136     0.00     0.01  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_copy(std::_Rb_tree_node<short> const*, std::_Rb_tree_node<short>*)
  0.00      2.68     0.00     6136     0.00     0.01  std::_Rb_tree_node<short>* std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_copy<std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node>(std::_Rb_tree_node<short> const*, std::_Rb_tree_node<short>*, std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node&)
  0.00      2.68     0.00     6136     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::~_Rb_tree()
  0.00      2.68     0.00     6136     0.00     0.00  std::remove_reference<std::allocator<std::_Rb_tree_node<short> >&>::type&& std::move<std::allocator<std::_Rb_tree_node<short> >&>(std::allocator<std::_Rb_tree_node<short> >&)
  0.00      2.68     0.00     6072     0.00     0.00  Board::GetPieceCount(int)
  0.00      2.68     0.00     5966     0.00     0.00  UCT::FindBestChild(UCT::Node*)
  0.00      2.68     0.00     3068     0.00     0.00  MC::Evaluate(Board&, int)
  0.00      2.68     0.00     3068     0.00     0.22  UCT::MCSimulation(Board&, UCT::Node*, int)
  0.00      2.68     0.00     3068     0.00     0.00  Board::StartMC()
  0.00      2.68     0.00     3068     0.00     0.02  Board::Board(Board const&)
  0.00      2.68     0.00     3068     0.00     0.00  Board::~Board()
  0.00      2.68     0.00      679     0.00     0.00  unipolar::BoardSizeSquare(int)
  0.00      2.68     0.00      338     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node_base*&, void>(std::_Rb_tree_node_base*&, std::_Rb_tree_node_base* const&)
  0.00      2.68     0.00      338     0.00     0.00  std::_Rb_tree_node_base*& std::forward<std::_Rb_tree_node_base*&>(std::remove_reference<std::_Rb_tree_node_base*&>::type&)
  0.00      2.68     0.00      173     0.00     0.00  BitSet::BitSet()
  0.00      2.68     0.00      171     0.00     0.00  UCT::GenChild(UCT::Node*, Board&, int)
  0.00      2.68     0.00      171     0.00     0.00  Board::GetPlayablePosition(int)
  0.00      2.68     0.00      170     0.00     0.00  UCT::Score(UCT::Node*)
  0.00      2.68     0.00      169     0.00     0.00  Board::List::List()
  0.00      2.68     0.00       26     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      2.68     0.00        8     0.00     0.00  __gcc_deregister_frame
  0.00      2.68     0.00        4     0.00     0.00  BitSet::set()
  0.00      2.68     0.00        2     0.00     0.07  Board::ClearBoard()
  0.00      2.68     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<short> >::new_allocator()
  0.00      2.68     0.00        2     0.00     0.00  std::allocator<std::_Rb_tree_node<short> >::allocator()
  0.00      2.68     0.00        2     0.00     0.00  std::set<short, std::less<short>, std::allocator<short> >::set()
  0.00      2.68     0.00        2     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Rb_tree_impl<std::less<short>, true>::_Rb_tree_impl()
  0.00      2.68     0.00        2     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Rb_tree()
  0.00      2.68     0.00        1     0.00   729.87  Controller::GTPGenmove(Board&)
  0.00      2.68     0.00        1     0.00     0.07  Controller::GTPClearBoard(Board&)
  0.00      2.68     0.00        1     0.00   729.93  Controller::Run(Board&)
  0.00      2.68     0.00        1     0.00     0.00  Controller::GTPQuit()
  0.00      2.68     0.00        1     0.00     0.00  Controller::Controller()
  0.00      2.68     0.00        1     0.00     0.00  UCT::FindBestUCT(UCT::Node*)
  0.00      2.68     0.00        1     0.00     0.00  UCT::Node::~Node()
  0.00      2.68     0.00        1     0.00   729.87  UCT::GenMove(Board&, int)
  0.00      2.68     0.00        1     0.00     0.00  UCT::UCT()
  0.00      2.68     0.00        1     0.00     0.00  UCT::~UCT()
  0.00      2.68     0.00        1     0.00     0.00  Board::Init()
  0.00      2.68     0.00        1     0.00     0.00  Board::Board()

			Call graph


granularity: each sample hit covers 4 byte(s) for 0.37% of 2.68 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     39.6    1.06    0.00                 _mcount_private [1]
-----------------------------------------------
                                                 <spontaneous>
[2]     32.5    0.87    0.00                 __fentry__ [2]
-----------------------------------------------
                                                 <spontaneous>
[3]     27.2    0.00    0.73                 main [3]
                0.00    0.73       1/1           Controller::Run(Board&) [4]
                0.00    0.00       1/2           Board::ClearBoard() [76]
                0.00    0.00       1/1           Controller::Controller() [300]
                0.00    0.00       1/1           Board::Init() [305]
                0.00    0.00       1/1           Board::Board() [306]
-----------------------------------------------
                0.00    0.73       1/1           main [3]
[4]     27.2    0.00    0.73       1         Controller::Run(Board&) [4]
                0.00    0.73       1/1           Controller::GTPGenmove(Board&) [5]
                0.00    0.00       1/1           Controller::GTPClearBoard(Board&) [78]
                0.00    0.00      26/26          bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*) [291]
                0.00    0.00       3/8           __gcc_deregister_frame [292]
                0.00    0.00       1/1           Controller::GTPQuit() [299]
-----------------------------------------------
                0.00    0.73       1/1           Controller::Run(Board&) [4]
[5]     27.2    0.00    0.73       1         Controller::GTPGenmove(Board&) [5]
                0.00    0.73       1/1           UCT::GenMove(Board&, int) [6]
                0.00    0.00       1/645549      Board::PlayMove(Move const&) [9]
                0.00    0.00       2/8           __gcc_deregister_frame [292]
                0.00    0.00       1/1           UCT::UCT() [303]
                0.00    0.00       1/1           UCT::~UCT() [304]
-----------------------------------------------
                0.00    0.73       1/1           Controller::GTPGenmove(Board&) [5]
[6]     27.2    0.00    0.73       1         UCT::GenMove(Board&, int) [6]
                0.00    0.67    3068/3068        UCT::MCSimulation(Board&, UCT::Node*, int) [7]
                0.00    0.06    3068/3068        Board::Board(Board const&) [25]
                0.00    0.00       1/171         UCT::GenChild(UCT::Node*, Board&, int) [79]
